model,precision,recall,f1,pr_auc,tn,fp,fn,tp
logreg_C0.01_orig,0.0,0.0,0.0,0.03556300713691832,39951,0,49,0
logreg_C0.01_bal,0.007209425004395991,0.8367346938775511,0.014295676429567642,0.05277423933653301,34305,5646,8,41
logreg_C0.1_orig,0.0,0.0,0.0,0.15674897241295374,39951,0,49,0
logreg_C0.1_bal,0.00705526625230976,0.8571428571428571,0.013995334888370544,0.16918622153065568,34040,5911,7,42
logreg_C1.0_orig,0.75,0.061224489795918366,0.11320754716981132,0.17322549000631088,39950,1,46,3
logreg_C1.0_bal,0.006834472412068678,0.8367346938775511,0.013558201058201057,0.20184511575053363,33993,5958,8,41
logreg_C10.0_orig,0.875,0.14285714285714285,0.24561403508771928,0.16911565977118315,39950,1,42,7
logreg_C10.0_bal,0.006827643630308077,0.8367346938775511,0.013544763792533861,0.20601650210491923,33987,5964,8,41
rf_est200_d10_orig,1.0,0.40816326530612246,0.5797101449275363,0.4943384267731003,39951,0,29,20
rf_est200_d10_bal,0.03783102143757881,0.6122448979591837,0.07125890736342043,0.19786751412591802,39188,763,19,30
rf_est200_d20_bal,0.07958477508650519,0.46938775510204084,0.13609467455621302,0.30613176671537573,39685,266,26,23
rf_est200_dNone_bal,0.375,0.3673469387755102,0.3711340206185567,0.34149181185217664,39921,30,31,18
rf_est200_d20_split5_bal,0.07641196013289037,0.46938775510204084,0.13142857142857142,0.3330259475215468,39673,278,26,23
rf_est200_d20_bal_sub,0.12359550561797752,0.4489795918367347,0.19383259911894274,0.2965662892910159,39795,156,27,22
rf_est200_d20_bal_sqrt,0.23255813953488372,0.40816326530612246,0.2962962962962963,0.33675491559560816,39885,66,29,20
rf_est300_d20_bal,0.07947019867549669,0.4897959183673469,0.13675213675213677,0.3060476229252257,39673,278,25,24
rf_est200_d10_orig_thr0.24_VAL,0.7931034482758621,0.46938775510204084,0.5897435897435898,0.4943384267731003,39945,6,26,23
rf_est200_d10_orig_TEST_t05,0.9545454545454546,0.42857142857142855,0.5915492957746479,0.6183362427237277,39950,1,28,21
rf_est200_d10_orig_TEST_thr0.24,0.7837837837837838,0.5918367346938775,0.6744186046511628,0.6183362427237277,39943,8,20,29
